Charles I, an Historical Tragedy in Five Acts 
 Act 1	count of Scenes: 2	count of Characters per Scene: 13	Longest Speech: 170 words
 Act 2	count of Scenes: 3	count of Characters per Scene: 13	Longest Speech: 199 words
 Act 3	count of Scenes: 1	count of Characters per Scene: 11	Longest Speech: 204 words
 Act 4	count of Scenes: 3	count of Characters per Scene: 15	Longest Speech: 157 words
 Act 5	count of Scenes: 2	count of Characters per Scene: 11	Longest Speech: 172 words
 ______ 
 Foscari: A Tragedy. By Mary Russell Mitford 
 Act 1	count of Scenes: 3	count of Characters per Scene: 12	Longest Speech: 238 words
 Act 2	count of Scenes: 2	count of Characters per Scene: 11	Longest Speech: 257 words
 Act 3	count of Scenes: 2	count of Characters per Scene: 11	Longest Speech: 104 words
 Act 4	count of Scenes: 1	count of Characters per Scene: 9	Longest Speech: 156 words
 Act 5	count of Scenes: 2	count of Characters per Scene: 6	Longest Speech: 147 words
 ______ 
 Julian, A Tragedy in Five Acts 
 Act 1	count of Scenes: 1	count of Characters per Scene: 4	Longest Speech: 240 words
 Act 2	count of Scenes: 1	count of Characters per Scene: 7	Longest Speech: 172 words
 Act 3	count of Scenes: 1	count of Characters per Scene: 9	Longest Speech: 174 words
 Act 4	count of Scenes: 3	count of Characters per Scene: 10	Longest Speech: 152 words
 Act 5	count of Scenes: 1	count of Characters per Scene: 7	Longest Speech: 232 words
 ______ 
 Marino Faliero 
 Act 1	count of Scenes: 2	count of Characters per Scene: 18	Longest Speech: 232 words
 Act 2	count of Scenes: 2	count of Characters per Scene: 7	Longest Speech: 192 words
 Act 3	count of Scenes: 2	count of Characters per Scene: 13	Longest Speech: 636 words
 Act 4	count of Scenes: 2	count of Characters per Scene: 19	Longest Speech: 721 words
 Act 5	count of Scenes: 4	count of Characters per Scene: 31	Longest Speech: 632 words
 ______ 
 Mirandola 
 Act 1	count of Scenes: 3	count of Characters per Scene: 17	Longest Speech: 143 words
 Act 2	count of Scenes: 3	count of Characters per Scene: 8	Longest Speech: 163 words
 Act 3	count of Scenes: 3	count of Characters per Scene: 12	Longest Speech: 126 words
 Act 4	count of Scenes: 3	count of Characters per Scene: 7	Longest Speech: 123 words
 Act 5	count of Scenes: 2	count of Characters per Scene: 11	Longest Speech: 107 words
 ______ 
 Rienzi: A Tragedy, In Five Acts 
 Act 1	count of Scenes: 2	count of Characters per Scene: 10	Longest Speech: 128 words
 Act 2	count of Scenes: 2	count of Characters per Scene: 9	Longest Speech: 393 words
 Act 3	count of Scenes: 3	count of Characters per Scene: 13	Longest Speech: 191 words
 Act 4	count of Scenes: 4	count of Characters per Scene: 13	Longest Speech: 159 words
 Act 5	count of Scenes: 2	count of Characters per Scene: 9	Longest Speech: 148 words
 ______ 
 Sardanapalus 
 Act 1	count of Scenes: 2	count of Characters per Scene: 6	Longest Speech: 393 words
 Act 2	count of Scenes: 1	count of Characters per Scene: 8	Longest Speech: 291 words
 Act 3	count of Scenes: 1	count of Characters per Scene: 11	Longest Speech: 217 words
 Act 4	count of Scenes: 1	count of Characters per Scene: 4	Longest Speech: 204 words
 Act 5	count of Scenes: 1	count of Characters per Scene: 8	Longest Speech: 283 words
 ______ 
 The Melfi. A Tragedy in Five Acts 
 Act 1	count of Scenes: 1	count of Characters per Scene: 4	Longest Speech: 240 words
 Act 2	count of Scenes: 1	count of Characters per Scene: 7	Longest Speech: 172 words
 Act 3	count of Scenes: 1	count of Characters per Scene: 9	Longest Speech: 174 words
 Act 4	count of Scenes: 3	count of Characters per Scene: 10	Longest Speech: 152 words
 Act 5	count of Scenes: 1	count of Characters per Scene: 7	Longest Speech: 232 words
 ______ 
 The vespers of Palermo. 
 Act 1	count of Scenes: 3	count of Characters per Scene: 22	Longest Speech: 127 words
 Act 2	count of Scenes: 3	count of Characters per Scene: 13	Longest Speech: 189 words
 Act 3	count of Scenes: 5	count of Characters per Scene: 26	Longest Speech: 164 words
 Act 4	count of Scenes: 2	count of Characters per Scene: 16	Longest Speech: 143 words
 Act 5	count of Scenes: 6	count of Characters per Scene: 24	Longest Speech: 126 words
 ______ 
 Virginius 
 Act 1	count of Scenes: 2	count of Characters per Scene: 12	Longest Speech: 187 words
 Act 2	count of Scenes: 4	count of Characters per Scene: 18	Longest Speech: 141 words
 Act 3	count of Scenes: 5	count of Characters per Scene: 18	Longest Speech: 161 words
 Act 4	count of Scenes: 2	count of Characters per Scene: 14	Longest Speech: 200 words
 Act 5	count of Scenes: 4	count of Characters per Scene: 10	Longest Speech: 141 words
 ______ 
